Mode,Params,Score
HSV,0_30_0_64_0_64,0
HSV,0_30_0_64_0_128,0
HSV,0_30_0_64_0_192,0
HSV,0_30_0_64_0_256,0
HSV,0_30_0_64_64_64,0
HSV,0_30_0_64_64_128,0
HSV,0_30_0_64_64_192,0
HSV,0_30_0_64_64_256,0
HSV,0_30_0_64_128_64,0
HSV,0_30_0_64_128_128,0
HSV,0_30_0_64_128_192,0
HSV,0_30_0_64_128_256,0
HSV,0_30_0_64_192_64,0
HSV,0_30_0_64_192_128,0
HSV,0_30_0_64_192_192,0
HSV,0_30_0_64_192_256,0
HSV,0_30_0_128_0_64,0
HSV,0_30_0_128_0_128,0
HSV,0_30_0_128_0_192,0
HSV,0_30_0_128_0_256,0
HSV,0_30_0_128_64_64,0
HSV,0_30_0_128_64_128,0
HSV,0_30_0_128_64_192,0
HSV,0_30_0_128_64_256,0
HSV,0_30_0_128_128_64,0
HSV,0_30_0_128_128_128,0
HSV,0_30_0_128_128_192,0
HSV,0_30_0_128_128_256,0
HSV,0_30_0_128_192_64,0
HSV,0_30_0_128_192_128,0
HSV,0_30_0_128_192_192,0
HSV,0_30_0_128_192_256,0
HSV,0_30_0_192_0_64,0
HSV,0_30_0_192_0_128,0
HSV,0_30_0_192_0_192,0
HSV,0_30_0_192_0_256,0
HSV,0_30_0_192_64_64,0
HSV,0_30_0_192_64_128,0
HSV,0_30_0_192_64_192,0
HSV,0_30_0_192_64_256,0
HSV,0_30_0_192_128_64,0
HSV,0_30_0_192_128_128,0
HSV,0_30_0_192_128_192,0
HSV,0_30_0_192_128_256,0
HSV,0_30_0_192_192_64,0
HSV,0_30_0_192_192_128,0
HSV,0_30_0_192_192_192,0
HSV,0_30_0_192_192_256,0
HSV,0_30_0_256_0_64,0
HSV,0_30_0_256_0_128,0
HSV,0_30_0_256_0_192,0
HSV,0_30_0_256_0_256,0
HSV,0_30_0_256_64_64,0
HSV,0_30_0_256_64_128,0
HSV,0_30_0_256_64_192,0
HSV,0_30_0_256_64_256,0
HSV,0_30_0_256_128_64,0
HSV,0_30_0_256_128_128,0
HSV,0_30_0_256_128_192,0
HSV,0_30_0_256_128_256,0
HSV,0_30_0_256_192_64,0
HSV,0_30_0_256_192_128,0
HSV,0_30_0_256_192_192,0
HSV,0_30_0_256_192_256,0
HSV,0_30_64_64_0_64,0
HSV,0_30_64_64_0_128,0
HSV,0_30_64_64_0_192,0
HSV,0_30_64_64_0_256,0
HSV,0_30_64_64_64_64,0
HSV,0_30_64_64_64_128,0
HSV,0_30_64_64_64_192,0
HSV,0_30_64_64_64_256,0
HSV,0_30_64_64_128_64,0
HSV,0_30_64_64_128_128,0
HSV,0_30_64_64_128_192,0
HSV,0_30_64_64_128_256,0
HSV,0_30_64_64_192_64,0
HSV,0_30_64_64_192_128,0
HSV,0_30_64_64_192_192,0
HSV,0_30_64_64_192_256,0
HSV,0_30_64_128_0_64,0
HSV,0_30_64_128_0_128,0
HSV,0_30_64_128_0_192,0
HSV,0_30_64_128_0_256,0
HSV,0_30_64_128_64_64,0
HSV,0_30_64_128_64_128,0
HSV,0_30_64_128_64_192,0
HSV,0_30_64_128_64_256,0
HSV,0_30_64_128_128_64,0
HSV,0_30_64_128_128_128,0
HSV,0_30_64_128_128_192,0
HSV,0_30_64_128_128_256,0
HSV,0_30_64_128_192_64,0
HSV,0_30_64_128_192_128,0
HSV,0_30_64_128_192_192,0
HSV,0_30_64_128_192_256,0
HSV,0_30_64_192_0_64,0
HSV,0_30_64_192_0_128,0
HSV,0_30_64_192_0_192,0
HSV,0_30_64_192_0_256,0
HSV,0_30_64_192_64_64,0
HSV,0_30_64_192_64_128,0
HSV,0_30_64_192_64_192,0
HSV,0_30_64_192_64_256,0
HSV,0_30_64_192_128_64,0
HSV,0_30_64_192_128_128,0
HSV,0_30_64_192_128_192,0
HSV,0_30_64_192_128_256,0
HSV,0_30_64_192_192_64,0
HSV,0_30_64_192_192_128,0
HSV,0_30_64_192_192_192,0
HSV,0_30_64_192_192_256,0
HSV,0_30_64_256_0_64,0
HSV,0_30_64_256_0_128,0
HSV,0_30_64_256_0_192,0
HSV,0_30_64_256_0_256,0
HSV,0_30_64_256_64_64,0
HSV,0_30_64_256_64_128,0
HSV,0_30_64_256_64_192,0
HSV,0_30_64_256_64_256,0
HSV,0_30_64_256_128_64,0
HSV,0_30_64_256_128_128,0
HSV,0_30_64_256_128_192,0
HSV,0_30_64_256_128_256,0
HSV,0_30_64_256_192_64,0
HSV,0_30_64_256_192_128,0
HSV,0_30_64_256_192_192,0
